task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5082	ce/01b4aa	6404027	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:36.494	2m 14s	2s	95.9%	117.5 MB	224.4 MB	307.6 MB	10.9 MB
5078	57/9de849	6404025	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:34.483	2m 16s	2s	95.1%	65.6 MB	164.1 MB	305.6 MB	9.1 MB
5084	0f/c1fc7a	6404028	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:37.486	2m 13s	1s	96.9%	3.1 MB	5.5 MB	300.5 MB	4.7 MB
5086	8a/ed2558	6404030	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:39.484	2m 11s	2s	97.5%	111.9 MB	179 MB	305.3 MB	8.2 MB
5089	5e/ba102c	6404032	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:41.484	2m 9s	2s	92.3%	26 MB	111.7 MB	302.5 MB	6.2 MB
5087	d7/cb7c0a	6404031	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:40.483	2m 10s	6s	97.2%	130.2 MB	239.7 MB	383.9 MB	80.2 MB
5085	0c/8d197c	6404029	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:38.484	2m 12s	1s	96.2%	117.1 MB	223 MB	303.5 MB	7.1 MB
5090	3c/5d0119	6404033	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:42.484	2m 8s	1s	91.8%	29.9 MB	114.3 MB	291.4 MB	893.3 KB
5092	54/b16d3e	6404035	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:44.483	2m 6s	1s	93.2%	45.4 MB	129.2 MB	289.8 MB	192.3 KB
5091	00/8b07f3	6404034	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:43.485	2m 7s	1s	94.6%	51.8 MB	99.8 MB	292.1 MB	1000.2 KB
5088	1d/df0f47	6404038	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:47.484	2m 3s	3s	90.1%	118 MB	224.9 MB	323.9 MB	25.9 MB
5093	3e/f04c59	6404036	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:45.484	2m 5s	1s	96.3%	108.7 MB	173.3 MB	300.6 MB	4.7 MB
5095	22/49a1e7	6404037	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:46.483	2m 4s	4s	90.6%	118.2 MB	224.9 MB	330.2 MB	32 MB
5096	8b/f88d5c	6404042	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:51.485	1m 59s	1s	96.8%	3.1 MB	5.5 MB	302.8 MB	6.6 MB
5098	04/846843	6404041	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:50.484	2m	1s	95.5%	113.5 MB	217 MB	299.8 MB	4.3 MB
